name,homepage
Diliff,https://commons.wikimedia.org/wiki/User:Diliff
Mark Fosh,https://www.flickr.com/photos/10069045@N00
Jimmy Baikovicius,https://www.flickr.com/people/7221539@N06
Chmee2,https://commons.wikimedia.org/wiki/User:Chmee2
Diego Delso,https://www.wikidata.org/wiki/Q28147777
Justin Norris,https://www.flickr.com/photos/36684917@N03
George Rex,https://www.flickr.com/people/36692623@N06
Cmglee,https://commons.wikimedia.org/wiki/User:Cmglee
R Sones,https://www.geograph.org.uk/profile/13202
Martin Addison,https://www.geograph.org.uk/profile/4942
Colin,https://commons.wikimedia.org/wiki/User:Colin
Sarahhoa,https://www.flickr.com/people/9996363@N08
mattbuck,https://commons.wikimedia.org/wiki/User:Mattbuck
Ank Kumar,https://commons.wikimedia.org/wiki/User:Ank_gsx
